tess_32052387_3_4_2.h5,nope
tess_306741655_1_4_3.h5,nope
tess_115040934_1_1_1.h5,nope
tess_92447891_1_1_4.h5,nope
tess_300655946_1_4_3.h5,nope
tess_29861001_1_1_4.h5,nope
tess_139119974_1_1_1.h5,nope
tess_441388469_1_1_4.h5,nope
tess_403152761_1_2_1.h5,nope
tess_302000969_2_4_3.h5,nope
tess_260243767_1_4_4.h5,nope
tess_141030008_2_4_2.h5,nope
tess_410420420_1_4_3.h5,nope
tess_441109260_1_1_3.h5,nope
tess_188594228_2_1_4.h5,nope
tess_234282770_1_2_1.h5,nope
tess_33595333_3_2_3.h5,nope
tess_441493643_3_1_2.h5,nope
tess_412051582_1_2_1.h5,nope
tess_179116078_3_4_2.h5,nope
tess_308183683_2_4_3.h5,nope
tess_308605891_1_4_3.h5,nope
tess_197986466_1_2_1.h5,nope
tess_206487676_1_1_3.h5,nope
tess_271795047_1_4_2.h5,nope
tess_55760256_1_4_1.h5,nope
tess_287837384_3_4_3.h5,nope
tess_307026763_1_4_3.h5,nope
tess_301792871_1_1_4.h5,nope
tess_237937958_1_4_1.h5,nope
tess_29668435_1_1_4.h5,nope
tess_141770940_1_4_2.h5,nope
tess_268652462_3_1_1.h5,nope
tess_150166090_1_4_4.h5,nope
tess_92447891_1_1_4.h5,nope
tess_300655946_1_4_3.h5,nope
tess_206463577_1_1_3.h5,nope
tess_38635733_1_4_1.h5,nope
tess_181050111_1_3_2.h5,nope
tess_269834411_1_1_4.h5,nope
tess_302000969_2_4_3.h5,nope
tess_293971112_5_4_1.h5,nope
tess_370239670_1_2_4.h5,like
tess_91526947_3_2_2.h5,nope
tess_268652462_3_1_1.h5,nope
tess_150166090_1_4_4.h5,nope
tess_92447891_1_1_4.h5,nope
tess_300655946_1_4_3.h5,nope
tess_206463577_1_1_3.h5,nope
tess_38635733_1_4_1.h5,nope
tess_181050111_1_3_2.h5,nope
tess_269834411_1_1_4.h5,nope
tess_302000969_2_4_3.h5,nope
tess_293971112_5_4_1.h5,nope
tess_370239670_1_2_4.h5,like
tess_91526947_3_2_2.h5,nope
tess_441109260_1_1_3.h5,nope
tess_188594228_2_1_4.h5,nope
tess_289826001_1_1_4.h5,nope
tess_441493643_3_1_2.h5,nope
tess_309289402_1_4_3.h5,nope
tess_150249529_1_4_4.h5,nope
tess_309852720_1_4_3.h5,nope
tess_309780779_1_4_3.h5,nope
tess_308605891_1_4_3.h5,nope
tess_260127813_1_4_4.h5,nope
tess_206487676_1_1_3.h5,nope
tess_53782987_1_1_3.h5,nope
tess_441200114_1_1_3.h5,nope
tess_287837384_3_4_3.h5,nope
tess_307026763_1_4_3.h5,nope
tess_300290578_3_4_3.h5,nope
tess_269881088_1_1_4.h5,nope
tess_29668435_1_1_4.h5,nope
